Model,1h,6h,12h,24h
Elastic Net,86.6642837524414,146.99061584472656,150.52223205566406,148.58436584472656
Random Forest,101.8932647705078,108.88104248046876,113.87420654296876,115.04452514648438
LSTM,199.95288516391827,206.22226205804373,208.7147604595332,206.8676814114267
CNN-GRU-LSTM,89.18798650915197,112.879018483123,114.98326495630802,121.60786901791474
GraphWaveNet,104.15609248149764,116.60889731526396,119.89327364576933,124.63286935589642
GraphWaveNet-GRU,97.45970709198852,112.03701273038924,115.05745189854304,121.22344908777318
GraphWaveNet-LSTM,98.72863169165636,110.62583513606096,114.30181599458771,121.69100609576137
GraphWaveNet-GRU-LSTM,106.5977606167185,121.00662022798436,124.4014157909609,128.21129488587073
