Model,1h,6h,12h,24h
Elastic Net,162.56179809570312,296.1588439941406,303.58575439453125,301.620361328125
Random Forest,228.6023712158203,247.1800231933593,260.1580505371094,258.9493713378906
LSTM,373.7775056157608,383.1132609308172,385.9848224276215,385.1261876631463
CNN-GRU-LSTM,172.46874408177126,227.4455284563825,234.07901190127453,246.211839778612
GraphWaveNet,201.0351602683748,229.53659076702152,239.3673882720884,247.8585292220827
GraphWaveNet-GRU,189.03204289937813,220.41889824362465,228.91598614727792,241.94680422348867
GraphWaveNet-LSTM,191.9924958032839,221.67887940329936,231.4725680022881,245.5394418882597
GraphWaveNet-GRU-LSTM,204.14695303047736,231.9006189431257,240.8236045134724,252.7555819349792
