epoch,train_loss,val_avg_MAE
1,0.12265816278110339,
2,0.10696022159705951,24947.002785647644
3,0.09952210875477378,
4,0.095018239823852,4632.46252676863
5,0.09244037437157368,
6,0.0906379143670788,29694.879512188632
7,0.08938873764567488,
8,0.08827779295406943,15737.963926243041
9,0.0873257206298235,
10,0.08655165634521349,8177.18351641461
11,0.08605769129953986,
12,0.08582175206246338,13813.572201668729
13,0.0848750262631206,
14,0.08441745882897865,18132.7260820987
15,0.0841690039658171,
