,12,24,48,72
Random Forest,326.82366943359375,326.48590087890625,341.4647521972656,348.5075988769531
GraphWaveNet-GRU-LSTM (proposed),376.2688903808594,379.0271911621094,384.06365966796875,388.6368713378906
