,12,24,48,72
Random Forest,114.4546890258789,115.1994857788086,123.0866470336914,125.60228729248047
GraphWaveNet-GRU-LSTM (proposed),119.00222994811237,125.07126246294469,135.29146441410595,141.88103041186977
