Model,OutageRate,MAE@72_mean,MAE@72_std
Random Forest,0.1,158.12316423476278,0.10735885375062969
Random Forest,0.2,190.51788267416694,0.13349375983705938
Random Forest,0.3,223.11648084679564,0.2694382620273872
GraphWaveNet-GRU-LSTM (proposed),0.1,155.31816223277954,0.10237358450206918
GraphWaveNet-GRU-LSTM (proposed),0.2,168.5744659033049,0.07102829768751287
GraphWaveNet-GRU-LSTM (proposed),0.3,181.9679698955475,0.07207426863936035
