Model,OutageRate,MAE@12_mean,MAE@12_std,MAE@24_mean,MAE@24_std,MAE@48_mean,MAE@48_std,MAE@72_mean,MAE@72_std
Random Forest,0.1,420.02115433945255,0.9217386899242784,456.0080842217529,2.05749292168846,457.8255757276014,1.9262683145386876,451.2997494529165,1.390988892994085
Random Forest,0.2,419.03091573275753,1.0730917797174235,454.88538551728533,1.285302834113116,456.69752206645865,1.3735675239497454,450.3053404078126,1.2066525756757227
Random Forest,0.3,419.4186748356995,0.5430040429616003,455.2324410893974,0.6263953209086465,457.2804066738593,0.8750526370786406,450.9620401020393,0.7205482033826495
GraphWaveNet-GRU-LSTM (proposed),0.1,277.7813676091043,0.9879107575924678,277.0173237719515,1.3500652164881894,275.6238604565011,1.5098062427643533,276.2088531929159,1.2075118550441946
GraphWaveNet-GRU-LSTM (proposed),0.2,276.47476217307485,0.8541066504917647,276.02824602786234,0.7457420000024785,274.6356600384432,0.6736303022584801,275.1113687163737,0.7186434639396241
GraphWaveNet-GRU-LSTM (proposed),0.3,276.22181572877037,0.34458661218975417,275.76382019339627,0.2044032219857186,274.78027561143045,0.39262992564067906,275.5418188609311,0.16411349467122135
