,12,24,48,72
Random Forest,259.4441223144531,263.8790283203125,279.93890380859375,284.7196350097656
GraphWaveNet-GRU-LSTM (proposed),241.51808456038648,253.48365841722327,278.7575094370528,291.5156300129534
