Model,OutageRate,MAE@72_mean,MAE@72_std
Random Forest,0.1,451.2997494529165,1.390988892994085
Random Forest,0.2,450.3053404078126,1.2066525756757227
Random Forest,0.3,450.9620401020393,0.7205482033826495
GraphWaveNet-GRU-LSTM (proposed),0.1,276.2088531929159,1.2075118550441946
GraphWaveNet-GRU-LSTM (proposed),0.2,275.1113687163737,0.7186434639396241
GraphWaveNet-GRU-LSTM (proposed),0.3,275.5418188609311,0.16411349467122135
