,12,24,48,72
Random Forest,176.1611785888672,173.9306640625,183.9253387451172,190.18553161621094
GraphWaveNet-GRU-LSTM (proposed),222.21859741210938,226.6228485107422,231.41110229492188,235.2101287841797
