Section,Model,MAE@12,MAE@24,MAE@48,MAE@72,RMSE@12,RMSE@24,RMSE@48,RMSE@72
Clean,Random Forest,114.4546890258789,115.1994857788086,123.0866470336914,125.60228729248047,259.4441223144531,263.8790283203125,279.93890380859375,284.7196350097656
Clean,GraphWaveNet-GRU-LSTM (proposed),119.00222994811237,125.07126246294469,135.29146441410595,141.88103041186977,241.51808456038648,253.48365841722327,278.7575094370528,291.5156300129534
Peak-only,Random Forest,176.1611785888672,173.9306640625,183.9253387451172,190.18553161621094,326.82366943359375,326.48590087890625,341.4647521972656,348.5075988769531
Peak-only,GraphWaveNet-GRU-LSTM (proposed),222.21859741210938,226.6228485107422,231.41110229492188,235.2101287841797,376.2688903808594,379.0271911621094,384.06365966796875,388.6368713378906
