epoch,train_loss,val_avg_MAE,val_MAE_1h,val_RMSE_1h,val_MAE_6h,val_RMSE_6h,val_MAE_12h,val_RMSE_12h,val_MAE_24h,val_RMSE_24h
1,0.16842410606997354,,,,,,,,,
2,0.12079414478818276,179.01905487587524,174.05573921623264,326.1985535442959,181.27118510633443,337.73689482617334,179.3725245528185,337.32418153182044,181.37677062811545,337.71850878622524
3,0.10014236135814424,,,,,,,,,
4,0.08794848486445003,153.2483295047211,143.34254392477638,273.39464231933465,155.38220625426732,296.1462189976024,154.58314359589818,297.96463700706266,159.68542424394266,302.94721658959384
5,0.08107120493300875,,,,,,,,,
6,0.07697067561006188,153.36166170910144,145.9323412397727,273.6060163772307,154.1310689499525,289.8091646184516,153.45867706057095,290.75100095808915,159.92455958610964,301.64351331118394
7,0.0749903373924413,,,,,,,,,
8,0.07332112007123187,144.26808634799943,133.22764930187216,255.58794078711128,145.32733073546834,278.25864200037694,151.4358948192616,286.31164020558236,147.08147053539565,284.80561467092105
9,0.07243173390178752,,,,,,,,,
10,0.07001883318101552,140.13300510182881,131.2230516827256,252.8734154862866,141.61168028946824,275.6703335853466,141.78027121759493,277.17897904387115,145.91701721752648,281.6167709793007
11,0.06885808773506853,,,,,,,,,
12,0.06790370945083468,137.64070224633133,127.15980473797698,248.36357563916482,138.52249890822046,274.8520674120143,140.9702204905838,279.91592775551436,143.9102848485441,283.23976433807513
13,0.06717963844425696,,,,,,,,,
14,0.0662348198711424,132.68541743941643,116.4835023147356,228.32338734041718,137.04641990513738,266.40417437522933,140.11497416393314,273.449476450491,137.09677337385955,272.00086344145046
15,0.06541109524835322,,,,,,,,,
16,0.06504577613974873,146.50112426814104,135.77559260612668,258.5254236594691,150.8015274627369,289.36638898898394,148.31453028221688,289.8719559553635,151.11284672148378,289.1904436064222
17,0.06449739850665394,,,,,,,,,
18,0.06344623765663097,125.40964693216566,114.26300257759783,219.40344503840154,126.5095006972316,250.54445646157484,126.83297239427256,253.96893606763163,134.03311205956064,262.5918090604845
19,0.06352414204774046,,,,,,,,,
20,0.06257370035899312,135.76288364160828,122.10217373614296,232.34728393143436,134.98574611522022,263.58514449445715,142.169914507143,279.0214393454552,143.79370020792697,279.2958431025386
21,0.06277916978176375,,,,,,,,,
22,0.062388960076005834,128.25659939109866,113.99357853866937,219.81541165448434,129.08591699094148,258.0668271259278,131.5983349139694,264.8732870804399,138.34856712081438,273.06251963989234
23,0.06177655862350213,,,,,,,,,
24,0.061865892513354025,120.32748141212214,106.18520992364469,205.23996637743505,122.6358103234682,241.4607894539551,125.4416409202235,250.70748066143798,127.04726448115214,252.78232551841757
25,0.06101966554060914,,,,,,,,,
26,0.06119598056140699,123.35630516885817,108.92135644290482,209.7330989537999,126.70146151293758,250.18402962034327,126.8184621144348,253.96969513152484,130.98394060515548,261.1602822954197
27,0.060799435565346165,,,,,,,,,
28,0.060849635812797044,125.27359578639292,110.38352224582313,214.99807440829903,127.80532671808622,255.53149739180645,129.2920080514668,261.78880209097184,133.61352613019554,267.4608508478948
29,0.05998469460615538,,,,,,,,,
30,0.06073678789058126,127.07524161860596,113.41915297308275,217.7644948005673,127.17801120591533,253.93272976020978,130.35541951425586,261.40406981126955,137.3483827811699,271.8907846738631
31,0.059667373258144335,,,,,,,,,
32,0.059458095636358836,148.40747301333803,138.78081160773502,266.6430667421807,146.24254766249183,289.61173158637183,147.00264089455854,292.868151401228,161.60389188856678,316.57876683070185
33,0.059934388117906745,,,,,,,,,
34,0.05887425842141747,124.32181815897246,111.61677465812635,216.9240754070564,125.63658870016312,254.04139220157091,125.69570311417895,256.38071914167114,134.33820616342146,268.6712248045966
35,0.05850632250645107,,,,,,,,,
