epoch,train_loss,val_MAE_12h,val_MAE_24h,val_MAE_48h,val_MAE_72h,val_RMSE_12h,val_RMSE_24h,val_RMSE_48h,val_RMSE_72h,val_avg_MAE
1,0.3649306262102653,,,,,,,,,
2,0.2334566625553792,132.67850412526673,145.91002112275282,169.8090266693459,201.02205665614923,274.6158548810377,296.2754750489273,326.27857848054924,372.7668187579116,162.3549021433787
3,0.2062683774261024,,,,,,,,,
4,0.1929373163876571,130.21237356751016,141.33421679312292,169.11257722999073,187.24874873876288,264.0334832292595,288.66225575284864,331.8798554422941,358.6674200722584,156.97697908234667
5,0.18616197005970272,,,,,,,,,
6,0.18172514567694326,123.25760079446063,130.9218156197211,161.90231872863498,165.55790948877856,256.28655705842306,273.98317579004146,320.84551188227306,327.90971840500004,145.40991115789882
7,0.1782975153425547,,,,,,,,,
8,0.17624244422424495,122.52312826235253,145.89282307978428,168.46304812747854,184.78205608728615,253.12412960214073,298.68399286293027,332.3046816990268,365.91586472185503,155.41526388922537
9,0.17442951028741252,,,,,,,,,
10,0.17264915756353244,121.35023705794946,135.67421793797467,156.39740863275244,176.85722347435436,254.39371369505844,283.39043243553004,313.8610144861372,349.3104430324706,147.56977177575774
11,0.1701482068600617,,,,,,,,,
12,0.17045033693782927,118.08276423274029,125.9008117165366,155.71034688890092,170.35695293780367,246.9799419678756,267.42724486550026,312.4485405772385,336.48618121561583,142.51271894399537
13,0.16797757547671402,,,,,,,,,
14,0.16730294394211506,115.00983266162362,126.48128796775033,151.30465927952244,161.57291417269496,243.34491245299634,268.4371479807979,303.0862791749476,319.42296463497564,138.59217352039784
15,0.16692817252217315,,,,,,,,,
16,0.16580910452707545,112.58380902874765,130.73339092032782,155.90408719210137,162.5403515716297,240.7594592445341,273.1061152502295,313.8819935533615,324.72626529340266,140.44040967820163
17,0.16545538439994723,,,,,,,,,
18,0.1642377452822182,110.05833803625143,126.05664118540138,159.67784732000175,172.34954961246055,237.69983093123065,268.6916571720636,318.7386240972416,338.89204561256923,142.03559403852879
19,0.16435840573367172,,,,,,,,,
20,0.16256647504220798,119.75283671468394,134.45586133232246,155.85209928287625,177.41631929203507,246.96680621500488,273.65595593967885,311.11366638082944,350.6140005487076,146.86927915547943
21,0.162235550054415,,,,,,,,,
22,0.16122192555055845,120.118735736857,132.35499692172635,158.50824964276825,170.7211931718855,247.47057559286966,277.7113143243138,322.36946753863515,341.79228091420777,145.42579386830926
23,0.16120681788508348,,,,,,,,,
24,0.16055804537975882,107.79460860320482,129.09063122899127,151.0800849054856,161.2075879326922,231.60100381932682,269.41544029621775,302.184129393905,323.54544491542896,137.29322816759347
25,0.16172306204405357,,,,,,,,,
26,0.16030605207747362,111.3971469438633,121.11712287941148,152.8514437839774,168.7225837986372,240.65898967753915,255.37708906552754,307.6536957012006,335.3025575558196,138.52207435147236
27,0.1598604769687953,,,,,,,,,
28,0.1602686797305355,114.60739529119138,127.76670120817491,154.78986019982176,166.23171039905446,246.90270087606356,273.332304190637,310.30865207717676,331.47645382024643,140.84891677456062
29,0.15962095605576132,,,,,,,,,
30,0.15881051052743056,122.48822310928442,130.2349472180577,156.2707581875904,168.60974764094027,250.16673756188325,269.3712370279179,311.8076943960869,336.24855078306973,144.4009190389682
31,0.15831908478042273,,,,,,,,,
32,0.1590830831546483,111.4257020292854,124.31459630198624,147.9834052903553,165.00670902143202,235.85151273484695,261.8757908193515,297.2300899503186,325.755995539777,137.18260316076476
33,0.15866130825102798,,,,,,,,,
34,0.1576461906977526,111.15225020379312,125.63406062892741,156.95506860559902,171.40885815999042,233.8526279255509,265.26857388486155,310.38377627458925,340.0206779707121,141.2875593995775
35,0.15900730265407112,,,,,,,,,
36,0.1578550673141254,107.50317625111873,133.67252423427942,154.93912678212092,171.36142335241104,232.93190222938264,278.4768511690065,311.314393374801,344.8633812259966,141.86906265498254
37,0.15731302771981306,,,,,,,,,
38,0.1581895771458393,114.86599818723884,127.76081593966204,153.20470813761594,165.88310736761997,242.46971803104404,268.9382920319408,312.57962019281666,333.86719119058455,140.4286574080342
39,0.15765088033957744,,,,,,,,,
40,0.15700840005489786,114.59942633900154,127.00636705040579,152.63273754724295,168.20234892944484,244.39996949217957,267.8125393669048,307.5935910716528,335.2329936595254,140.61021996652377
