,12h,24h,48h,72h
GraphWaveNet--GRU,6.8181818181818175,3.7593984962406015,2.112676056338028,1.36986301369863
GraphWaveNet--LSTM,6.8181818181818175,6.015037593984962,4.225352112676056,2.73972602739726
GraphWaveNet--GRU--LSTM,9.848484848484848,6.015037593984962,4.929577464788732,3.4246575342465753
