epoch,train_loss,val_MAE_12h,val_MAE_24h,val_MAE_48h,val_MAE_72h,val_RMSE_12h,val_RMSE_24h,val_RMSE_48h,val_RMSE_72h,val_avg_MAE
1,0.3817974046224684,,,,,,,,,
2,0.25096580597359364,147.69426970807706,150.90546042043138,165.2791097862975,187.35062899748038,297.9330976041678,307.435052525398,321.22694951381345,345.0043578777205,162.8073672280716
3,0.214315700836069,,,,,,,,,
4,0.1983545481220005,126.2322995701818,136.58073428821572,158.5252546107599,183.93591451686305,256.53886866163543,282.14743474192954,310.71682617989285,353.4172197413484,151.3185507465051
5,0.18984666936040864,,,,,,,,,
6,0.18531638747594487,123.79552365330278,138.32191836541767,161.3291512396702,176.70383159562886,256.9783576988641,281.30221244650255,320.5153096740717,342.24984897800357,150.0376062135049
7,0.1807714906029814,,,,,,,,,
8,0.17741901022712075,125.3832227435019,133.46625635487746,162.79593783074816,182.81197959123566,257.73546166178375,277.7512425920368,322.9519951859985,353.38960090737197,151.11434913009077
9,0.1762601349532135,,,,,,,,,
10,0.17366292415641424,127.52898778951449,133.1062787638071,155.51427460338724,175.23460931458055,263.3366753629053,271.55926533895905,311.4907697172039,343.8074197082869,147.84603761782233
11,0.17105571385913007,,,,,,,,,
12,0.17029495842344178,123.22892314814287,127.68618356890677,156.36399493414964,165.45560564084147,252.88234925553826,265.88652969827075,311.30605805373006,322.1519775426046,143.1836768230102
13,0.16849627738862527,,,,,,,,,
14,0.16673702271435203,117.78855929667148,128.4827961674543,157.30557498280348,169.5418876503746,245.6804092127872,265.88222944698333,307.8502766910973,335.6392086357126,143.27970452432598
15,0.1663296676761522,,,,,,,,,
16,0.1648113617277521,114.70000572425889,137.06979180917935,161.21322021152682,166.09846538794798,243.6543126365702,273.9277717167503,310.41364297721265,318.67419163633707,144.77037078322826
17,0.164532068207508,,,,,,,,,
18,0.1649943051610406,120.42615284436286,132.15505084495763,157.83095411400822,165.73037306610308,247.99749568730405,274.0251076679495,313.5356747865567,328.4135283320605,144.03563271735794
19,0.16406126578492441,,,,,,,,,
20,0.16292800208715003,111.93625414236826,139.88678793544747,165.2171680796798,174.76691851030557,241.29311102699688,280.90922565267016,321.42997209637576,338.6710446911604,147.95178216695027
21,0.16321272455801175,,,,,,,,,
22,0.16176106962632006,122.77991750654134,128.0759087795405,162.22150471051876,173.41152991625955,248.74707802982297,263.6460398468592,320.8034469987936,339.15014413784627,146.62221522821505
23,0.16180319837697849,,,,,,,,,
24,0.16164662624437978,122.14307030957552,123.92989101106089,151.44505530916697,164.54399265157173,251.69291661333637,259.8993100502699,302.2008014717037,326.2330456879082,140.51550232034378
25,0.16048261194717228,,,,,,,,,
26,0.15994299003693063,123.25046981676671,138.90246854507865,163.44867124156087,171.01783011634734,255.67712270464585,280.27549111436184,319.6685949350378,334.9557903362973,149.1548599299384
27,0.1600908691019524,,,,,,,,,
28,0.15935877628448442,111.28560524655641,130.73952727835004,158.79646489010372,167.23268711557208,235.25824851772308,267.8305226154933,312.69104404500365,330.3663783916564,142.01357113264555
29,0.15942062331935553,,,,,,,,,
30,0.1588977103627573,117.15146656225238,126.15741035003012,151.0158261506948,157.31695289742507,244.5781673274744,265.731800760777,301.19048951901823,310.0114000193506,137.91041399010058
31,0.1596346707559946,,,,,,,,,
32,0.15870833690241565,115.32419150187452,124.16286906030946,149.86626278576165,158.6132301755376,238.84926574387507,258.7224596879076,301.4078678851648,313.00652705166283,136.99163838087082
33,0.15886429750074552,,,,,,,,,
34,0.15783862910402102,113.51529160942408,125.88768505270119,156.80238047224898,172.11477397371877,239.14993943393532,264.52590040056805,313.2780754094677,339.5937701443642,142.08003277702326
35,0.15834144426612404,,,,,,,,,
36,0.15805182177720106,117.76668775854174,137.0434690362723,155.68653020128488,162.2260130988145,245.90675631793073,282.0097292226418,307.70386667122705,317.29556599097623,143.18067502372836
37,0.1570951107918747,,,,,,,,,
38,0.15678774899854434,118.53526618516386,128.38754604346826,156.42993471494617,171.77978591984328,243.55573471691588,266.1298849674409,315.71729976111294,342.9202489235859,143.7831332158554
39,0.157090011309451,,,,,,,,,
40,0.1563507208204645,112.20587029874456,132.44444315787175,152.30199378787273,164.86328545857728,237.66388162765506,273.63430872468024,303.2952664643134,323.97882307474435,140.45389817576657
