epoch,train_loss,val_MAE_12h,val_MAE_24h,val_MAE_48h,val_MAE_72h,val_RMSE_12h,val_RMSE_24h,val_RMSE_48h,val_RMSE_72h,val_avg_MAE
1,0.3683494733074519,,,,,,,,,
2,0.23760297542481912,144.6359928335129,149.05293763740596,172.47871377327945,185.45475947186705,282.63711502132594,303.91964636292187,331.7234019820294,355.4790229292687,162.90560092901634
3,0.20639462663432745,,,,,,,,,
4,0.1934246826828934,132.3646123702897,136.45192578557734,163.74994554828424,186.10553054260274,270.2651137607286,283.10145523606684,323.02322817984526,360.54296288095344,154.66800356168852
5,0.18732826857585608,,,,,,,,,
6,0.1831784614427822,127.88037177755102,133.70042863060527,163.27373144722566,170.5178601924586,260.6249905845375,280.5804092081986,327.81252917197304,335.8628039189063,148.84309801196014
7,0.1794796295053377,,,,,,,,,
8,0.17723432887257554,127.85849667660455,148.64796858878253,166.251429223933,175.32254981530357,255.67886075453615,303.58443244117024,327.6637206154772,347.7489354507578,154.5201110761559
9,0.1752961308468045,,,,,,,,,
10,0.17328984718623125,122.95347412634983,139.70963809620176,154.36148558294332,169.34555088509867,256.0284029213982,291.5862498793547,310.6311248934215,334.17257103001833,146.5925371726484
11,0.1713729038482576,,,,,,,,,
12,0.1715368888978883,118.14747733573515,125.73037980576473,159.1386810381193,170.58757765752875,242.18359238011143,268.8462312083201,319.9773345880523,339.8990340858809,143.40102895928698
13,0.1693676672582551,,,,,,,,,
14,0.16900947455346116,116.08201918838084,124.6259256197876,151.46789741795547,163.8088830878315,241.62639750157618,263.9345363615193,301.84938272411915,321.1114452351507,138.99618132848886
15,0.16745886640755211,,,,,,,,,
16,0.1683793720297926,117.56380149695308,132.74256959724968,155.8231361955578,162.50577906688406,250.4144342238888,278.3898989151622,316.78517029028035,326.9167757910418,142.15882158916116
17,0.1661475813529623,,,,,,,,,
18,0.1656528243164378,114.4713573880468,125.56705535809634,161.44399940904748,170.55536462816545,242.4796488412813,266.6996623175747,322.4296528192195,336.3213785583577,143.00944419583902
19,0.16457898422019687,,,,,,,,,
20,0.16531790922007222,123.69021391626715,137.11712504679167,157.50792026036115,175.03811127246712,252.78369388644327,279.5229657855663,316.1585486964753,350.2825677696372,148.33834262397176
21,0.16245075074706491,,,,,,,,,
22,0.16244113421815587,125.36928292612713,130.94138863632477,156.62735834715707,169.20579405446645,255.18763351061034,275.79006522685137,318.608343364196,338.7614170060712,145.53595599101885
23,0.16235862273400223,,,,,,,,,
24,0.16149797800957688,113.08694911727653,130.49401167701308,155.99470137895258,162.87079884526733,239.32268101922205,272.6785590535766,314.10991248255755,324.02982734981236,140.6116152546274
25,0.16277578168027984,,,,,,,,,
26,0.16132327820372394,118.4012370574744,123.61589741890555,155.41871308921864,171.06331309415907,250.1924152386494,260.885177744642,310.611521145413,338.1460435524684,142.1247901649394
