epoch,train_loss,val_MAE_12h,val_MAE_24h,val_MAE_48h,val_MAE_72h,val_RMSE_12h,val_RMSE_24h,val_RMSE_48h,val_RMSE_72h,val_avg_MAE
1,0.3652695431484012,,,,,,,,,
2,0.23543700974757278,136.81745944089428,156.0166250529672,186.11017369444144,193.648932924512,282.57981872413706,312.69903267151227,347.87241134728674,366.18820090151024,168.14829777820373
3,0.20553541253870866,,,,,,,,,
4,0.19135561010499638,133.07830999925892,140.93871863177387,170.37187250009026,183.63492395880243,262.4758059152855,283.6984924707895,325.8413940575872,351.6387662035667,157.00595627248137
5,0.1844162882313015,,,,,,,,,
6,0.17975094509641015,121.802833959439,130.63477770517548,163.4087214072081,170.08958512661775,255.01951893198827,275.1803485489722,324.49029022209135,333.76809129039896,146.48397954961007
7,0.17631769860823324,,,,,,,,,
8,0.1744572256259092,122.58392832372797,145.08749592057484,166.08589814572017,175.2280849361258,254.20566336288516,294.9616742948294,327.2883953093515,343.46181146499623,152.2463518315372
9,0.17322226654826187,,,,,,,,,
10,0.1713002998763182,120.39081379959678,138.3191273735485,158.2472961486901,173.89478553862187,248.1800352982285,285.54055139303233,316.56863928069396,344.8412867281245,147.71300571511432
11,0.16934700732625377,,,,,,,,,
12,0.1698667728525447,119.4729043036926,126.9026266747614,152.19390974482633,171.67450521976403,248.08795658451578,268.88256495916465,305.62430341335585,340.27419315224023,142.56098648576108
13,0.16735817257344254,,,,,,,,,
14,0.166669642244737,116.30462712510142,126.41952030473009,147.27396873082017,158.4190457672312,246.36717093639152,270.02893757160825,295.8067941720197,314.5497987983773,137.1042904819707
15,0.16610910573343593,,,,,,,,,
16,0.16572790035581964,116.4314395893545,131.0082149943755,153.730104578172,160.27179253266866,244.14207812500956,273.2459110029801,310.9992903838548,325.56692864700653,140.36038792364266
17,0.1647566079389392,,,,,,,,,
18,0.16366983985337685,115.38511305530062,131.56451901855326,164.4702821596465,174.06303780718605,248.35720761314494,278.2921935984768,329.0090319593712,343.56393313801146,146.3707380101716
19,0.16302525199304416,,,,,,,,,
20,0.1625978531917249,119.71048569030287,130.82438193442897,154.24238254937114,172.92947042054539,244.36302747389905,269.04524065528653,306.76234910471305,342.6978391539938,144.4266801486621
21,0.16138948746553555,,,,,,,,,
22,0.16045598791340204,122.76268327129281,131.87433758329865,156.56637696809997,170.34913513811378,252.13668400665105,276.65664559408316,318.4664802548695,342.1417451743795,145.3881332402013
23,0.16076773135211525,,,,,,,,,
24,0.15980234202437513,111.77623687933357,133.17774370141507,155.8372102123629,161.74302400483404,233.96730706382647,273.76360426475554,311.26100019239544,323.4092347665655,140.63355369948638
25,0.16104124204849635,,,,,,,,,
26,0.15967328705656247,114.9393745760248,122.3105913396951,148.5235583240225,163.73146774154472,243.9789972454033,260.4484759080475,301.68686487538463,329.03303636185024,137.3762479953218
