epoch,train_loss,val_avg_MAE,val_MAE_12h,val_RMSE_12h,val_MAE_24h,val_RMSE_24h,val_MAE_48h,val_RMSE_48h,val_MAE_72h,val_RMSE_72h
2,0.15963972905489404,54996.27392835223,35247.511185344374,929646.0842921638,52858.42739739563,1361904.5212353216,79376.9152733678,2008895.6271172885,52502.24185730112,1337117.6570044036
4,0.13060870344244588,21873.871206550262,26179.432951589395,700227.9995130823,18608.50692326548,623486.2879463936,21587.759149788417,634596.6211892699,21119.78580155776,629785.0896875223
6,0.11833145281695943,8730.293989860698,10529.839785356919,312893.36863707274,10887.300506014984,313144.13613784494,6318.821952271557,160573.97332299943,7185.213715799335,188449.1082676124
8,0.11297524943361133,18713.051987671704,29081.427984547827,812201.7844097269,13261.768711438446,428375.7990973545,14874.862870509189,468140.6336228391,17634.148384191354,520894.5541295328
10,0.11011347467974415,19978.520175993646,27050.135554250774,789033.4333291469,11611.946837073816,347112.77044431574,16838.75231868113,455476.56472112803,24413.245993968863,663145.3202853729
12,0.10838135455067702,22883.133100182604,42607.52230513292,1144309.079857928,8450.814530211735,251321.70437668517,14551.49512891696,365090.00394770264,25922.700436468804,673938.5353042274
14,0.10692475988404958,16863.427154174005,30808.33632989973,829298.2804031683,4929.6618877418205,153065.174334102,17311.323349845803,443618.0629474648,14404.387049208675,387297.9118548178
16,0.10608230636814447,15435.8840697438,24435.297081910583,854555.5426951742,7771.317105890714,265336.6132447184,16789.30240618391,495869.92692511104,12747.619684989995,454078.50494774384
18,0.10500222861062823,18325.03120077375,21898.231269559863,655914.5080124934,8204.648641664244,224243.16859727429,19171.124060128946,532808.9597294744,24026.12083174194,702984.226661242
